Вартість (грн),Обрамлення,Потужність (л/г),Охоронний статус,Ступінь небезпеки,Матеріал,Лояльність клієнта,Статус проєкта
1144.7,Просте,55.06,Вищий статус охорони,Висока,Залізо,4.05,Заблоковано
951.42,Коштовне,41.44,Вищий статус охорони,Висока,Льон,3.71,Заблоковано
873.63,Коштовне,18.26,Вищий статус охорони,Помірна,Льон,4.0,Заблоковано
915.75,Стандартне,57.63,Вищий статус охорони,Висока,Скло,1.83,Узгоджено
1145.73,Коштовне,63.03,Вищий статус охорони,Безпечний,Залізо,0.74,Заблоковано
856.21,Стандартне,24.63,Невелике занепокоєння,Помірна,Скло,1.12,Заблоковано
855.9,Коштовне,37.26,Не охороняється,Безпечний,Скло,2.32,Узгоджено
804.3,Стандартне,38.97,Не охороняється,Помірна,Скло,3.1,Узгоджено
908.79,Просте,35.5,Вищий статус охорони,Помірна,Льон,1.29,Заблоковано
797.02,Просте,56.73,Не охороняється,Помірна,Поліпропілен,0.59,Узгоджено
1345.39,Просте,51.95,Вищий статус охорони,Безпечний,Залізо,2.35,Заблоковано
864.84,Стандартне,58.53,Вищий статус охорони,Помірна,Залізо,2.6,Узгоджено
734.35,Коштовне,47.0,Не охороняється,Висока,Льон,1.89,Узгоджено
894.16,Стандартне,60.11,Невелике занепокоєння,Висока,Льон,0.97,Узгоджено
823.14,Просте,62.93,Невелике занепокоєння,Висока,Поліпропілен,0.24,Узгоджено
1340.21,Стандартне,69.5,Не охороняється,Помірна,Поліпропілен,4.8,Заблоковано
870.52,Коштовне,52.41,Не охороняється,Безпечний,Поліпропілен,1.11,Узгоджено
761.97,Стандартне,40.44,Вищий статус охорони,Безпечний,Скло,0.12,Узгоджено
810.5,Коштовне,35.31,Невелике занепокоєння,Помірна,Льон,3.66,Узгоджено
1348.06,Коштовне,39.19,Не охороняється,Безпечний,Льон,4.14,Заблоковано
795.88,Коштовне,33.03,Вищий статус охорони,Помірна,Залізо,3.35,Узгоджено
680.46,Стандартне,51.4,Не охороняється,Помірна,Поліпропілен,1.07,Узгоджено
787.32,Стандартне,67.82,Вищий статус охорони,Помірна,Льон,3.97,Узгоджено
768.22,Коштовне,45.09,Вищий статус охорони,Безпечний,Поліпропілен,3.74,Узгоджено
1024.0,Просте,71.55,Не охороняється,Помірна,Поліпропілен,3.21,Заблоковано
784.26,Стандартне,37.43,Не охороняється,Безпечний,Скло,0.86,Узгоджено
837.67,Просте,44.29,Вищий статус охорони,Висока,Льон,0.0,Узгоджено
1234.24,Стандартне,29.54,Невелике занепокоєння,Помірна,Льон,6.24,Заблоковано
899.3,Стандартне,47.93,Вищий статус охорони,Висока,Залізо,3.02,Узгоджено
741.42,Коштовне,53.58,Вищий статус охорони,Безпечний,Поліпропілен,2.55,Узгоджено
887.34,Коштовне,30.3,Не охороняється,Висока,Залізо,4.89,Заблоковано
676.89,Стандартне,37.05,Не охороняється,Безпечний,Скло,3.18,Узгоджено
663.78,Просте,39.81,Не охороняється,Помірна,Скло,3.91,Узгоджено
1314.88,Стандартне,36.99,Не охороняється,Висока,Поліпропілен,3.77,Заблоковано
1039.68,Стандартне,59.24,Невелике занепокоєння,Помірна,Залізо,0.68,Заблоковано
1040.31,Просте,68.62,Вищий статус охорони,Висока,Льон,4.05,Заблоковано
922.89,Коштовне,63.85,Невелике занепокоєння,Висока,Скло,3.89,Узгоджено
856.84,Стандартне,26.6,Не охороняється,Помірна,Скло,4.94,Заблоковано
1241.53,Просте,54.52,Вищий статус охорони,Висока,Поліпропілен,1.97,Заблоковано
1007.26,Стандартне,65.7,Невелике занепокоєння,Помірна,Скло,0.83,Заблоковано
805.2,Коштовне,54.09,Не охороняється,Помірна,Поліпропілен,2.16,Узгоджено
1086.75,Коштовне,27.83,Вищий статус охорони,Безпечний,Льон,4.66,Заблоковано
975.66,Стандартне,40.82,Вищий статус охорони,Безпечний,Скло,1.57,Заблоковано
1327.07,Стандартне,64.26,Не охороняється,Помірна,Льон,2.4,Заблоковано
825.13,Коштовне,62.75,Не охороняється,Помірна,Льон,4.15,Узгоджено
877.46,Стандартне,27.52,Не охороняється,Висока,Залізо,3.15,Заблоковано
1173.07,Коштовне,48.11,Вищий статус охорони,Безпечний,Поліпропілен,5.09,Заблоковано
695.65,Просте,32.35,Невелике занепокоєння,Безпечний,Залізо,0.6,Узгоджено
906.58,Просте,59.82,Вищий статус охорони,Висока,Залізо,0.71,Узгоджено
989.89,Просте,46.67,Невелике занепокоєння,Висока,Поліпропілен,0.69,Заблоковано
769.62,Коштовне,35.1,Невелике занепокоєння,Висока,Скло,3.38,Узгоджено
491.05,Просте,56.29,Не охороняється,Безпечний,Скло,6.91,Узгоджено
1053.67,Просте,48.88,Не охороняється,Безпечний,Залізо,4.66,Заблоковано
1216.43,Стандартне,32.62,Невелике занепокоєння,Висока,Скло,2.95,Заблоковано
886.9,Просте,40.0,Вищий статус охорони,Помірна,Скло,2.17,Заблоковано
774.34,Стандартне,44.29,Не охороняється,Безпечний,Скло,2.49,Узгоджено
728.72,Коштовне,44.77,Не охороняється,Висока,Льон,6.42,Узгоджено
646.62,Коштовне,24.58,Невелике занепокоєння,Помірна,Льон,4.5,Узгоджено
778.56,Коштовне,41.25,Вищий статус охорони,Висока,Поліпропілен,3.9,Узгоджено
895.95,Коштовне,43.93,Невелике занепокоєння,Висока,Скло,5.44,Заблоковано
950.08,Стандартне,49.52,Вищий статус охорони,Помірна,Залізо,4.51,Заблоковано
523.17,Стандартне,59.01,Не охороняється,Висока,Залізо,3.34,Узгоджено
1012.18,Стандартне,49.61,Не охороняється,Помірна,Скло,2.78,Заблоковано
968.65,Стандартне,69.11,Не охороняється,Безпечний,Льон,0.0,Узгоджено
864.63,Коштовне,40.71,Невелике занепокоєння,Помірна,Залізо,2.91,Узгоджено
1028.29,Коштовне,40.28,Не охороняється,Висока,Поліпропілен,0.27,Заблоковано
788.57,Коштовне,36.28,Невелике занепокоєння,Висока,Залізо,1.72,Узгоджено
1283.06,Коштовне,47.19,Не охороняється,Висока,Поліпропілен,5.03,Заблоковано
929.89,Коштовне,54.09,Невелике занепокоєння,Висока,Поліпропілен,3.15,Заблоковано
726.37,Просте,39.3,Невелике занепокоєння,Помірна,Поліпропілен,2.48,Узгоджено
717.42,Стандартне,33.34,Вищий статус охорони,Висока,Скло,1.39,Узгоджено
532.0,Просте,58.19,Невелике занепокоєння,Висока,Залізо,2.76,Узгоджено
702.27,Коштовне,45.65,Вищий статус охорони,Безпечний,Поліпропілен,1.24,Узгоджено
798.41,Просте,23.57,Не охороняється,Помірна,Поліпропілен,3.71,Узгоджено
1093.1,Коштовне,46.19,Вищий статус охорони,Безпечний,Льон,2.45,Заблоковано
757.24,Стандартне,48.33,Невелике занепокоєння,Помірна,Поліпропілен,2.81,Узгоджено
1044.31,Просте,54.05,Невелике занепокоєння,Безпечний,Льон,2.35,Заблоковано
709.46,Стандартне,48.11,Не охороняється,Безпечний,Льон,4.78,Узгоджено
718.0,Стандартне,36.65,Невелике занепокоєння,Помірна,Скло,0.0,Узгоджено
869.0,Стандартне,44.39,Невелике занепокоєння,Висока,Льон,0.0,Узгоджено
650.36,Просте,50.82,Вищий статус охорони,Безпечний,Льон,5.48,Узгоджено
509.66,Просте,32.74,Вищий статус охорони,Безпечний,Льон,8.61,Узгоджено
1177.69,Просте,47.56,Вищий статус охорони,Висока,Поліпропілен,1.33,Заблоковано
1126.73,Стандартне,44.28,Вищий статус охорони,Безпечний,Льон,3.83,Заблоковано
867.51,Коштовне,58.82,Вищий статус охорони,Помірна,Поліпропілен,0.0,Узгоджено
768.72,Стандартне,24.28,Вищий статус охорони,Безпечний,Залізо,1.92,Узгоджено
817.82,Коштовне,39.52,Не охороняється,Помірна,Залізо,4.89,Узгоджено
673.81,Просте,36.89,Невелике занепокоєння,Безпечний,Льон,2.77,Узгоджено
906.17,Стандартне,69.91,Невелике занепокоєння,Помірна,Залізо,1.01,Узгоджено
993.45,Просте,59.12,Вищий статус охорони,Висока,Поліпропілен,5.31,Заблоковано
700.29,Коштовне,48.22,Не охороняється,Висока,Скло,4.33,Узгоджено
979.69,Просте,41.97,Вищий статус охорони,Помірна,Поліпропілен,3.13,Заблоковано
807.62,Стандартне,32.45,Невелике занепокоєння,Безпечний,Льон,4.26,Узгоджено
824.84,Просте,50.31,Не охороняється,Висока,Залізо,3.68,Узгоджено
412.0,Стандартне,36.42,Невелике занепокоєння,Безпечний,Скло,4.71,Узгоджено
901.64,Стандартне,34.98,Не охороняється,Безпечний,Скло,2.1,Заблоковано
851.97,Стандартне,44.15,Невелике занепокоєння,Помірна,Льон,0.0,Узгоджено
572.02,Коштовне,29.86,Вищий статус охорони,Безпечний,Залізо,6.55,Узгоджено
967.93,Стандартне,59.52,Невелике занепокоєння,Висока,Скло,3.07,Заблоковано
877.57,Стандартне,13.4,Не охороняється,Безпечний,Льон,1.34,Заблоковано
946.64,Просте,12.57,Невелике занепокоєння,Висока,Залізо,1.83,Заблоковано
1029.9,Коштовне,49.75,Не охороняється,Висока,Поліпропілен,1.16,Заблоковано
931.66,Коштовне,28.98,Не охороняється,Висока,Скло,3.73,Заблоковано
646.62,Просте,69.01,Вищий статус охорони,Висока,Скло,1.15,Узгоджено
1112.49,Стандартне,57.25,Невелике занепокоєння,Висока,Льон,1.14,Заблоковано
823.28,Просте,67.09,Не охороняється,Висока,Залізо,2.44,Узгоджено
1114.22,Коштовне,18.69,Не охороняється,Висока,Залізо,1.7,Заблоковано
1155.57,Коштовне,48.94,Невелике занепокоєння,Помірна,Скло,3.12,Заблоковано
1296.05,Просте,44.35,Невелике занепокоєння,Безпечний,Поліпропілен,4.46,Заблоковано
793.25,Стандартне,49.37,Не охороняється,Помірна,Скло,2.68,Узгоджено
1177.79,Коштовне,40.28,Не охороняється,Безпечний,Поліпропілен,4.86,Заблоковано
630.72,Стандартне,41.44,Вищий статус охорони,Безпечний,Льон,4.49,Узгоджено
897.2,Стандартне,62.62,Не охороняється,Помірна,Поліпропілен,0.34,Узгоджено
939.8,Просте,44.5,Невелике занепокоєння,Висока,Залізо,0.0,Заблоковано
1157.26,Стандартне,32.0,Не охороняється,Висока,Скло,4.2,Заблоковано
924.13,Коштовне,38.82,Не охороняється,Безпечний,Залізо,3.27,Заблоковано
1458.89,Коштовне,47.48,Вищий статус охорони,Безпечний,Скло,2.96,Заблоковано
780.5,Стандартне,59.84,Не охороняється,Безпечний,Залізо,3.77,Узгоджено
982.14,Просте,60.11,Вищий статус охорони,Висока,Поліпропілен,5.41,Заблоковано
982.67,Стандартне,49.19,Вищий статус охорони,Помірна,Залізо,3.98,Заблоковано
769.45,Просте,48.49,Невелике занепокоєння,Помірна,Скло,1.39,Узгоджено
733.69,Просте,57.27,Невелике занепокоєння,Помірна,Поліпропілен,3.95,Узгоджено
1021.5,Стандартне,73.69,Невелике занепокоєння,Висока,Залізо,3.04,Заблоковано
756.56,Стандартне,47.73,Не охороняється,Безпечний,Залізо,2.38,Узгоджено
713.26,Коштовне,55.95,Вищий статус охорони,Висока,Скло,2.6,Узгоджено
1234.24,Стандартне,22.48,Не охороняється,Безпечний,Поліпропілен,3.04,Заблоковано
1277.93,Стандартне,35.07,Невелике занепокоєння,Помірна,Льон,3.71,Заблоковано
793.18,Просте,40.48,Не охороняється,Висока,Льон,6.0,Узгоджено
1052.04,Коштовне,47.26,Вищий статус охорони,Висока,Поліпропілен,0.0,Заблоковано
671.74,Коштовне,64.44,Не охороняється,Безпечний,Льон,3.68,Узгоджено
775.15,Стандартне,12.38,Вищий статус охорони,Висока,Льон,4.59,Узгоджено
702.22,Коштовне,56.03,Не охороняється,Безпечний,Скло,1.99,Узгоджено
692.3,Просте,64.65,Вищий статус охорони,Безпечний,Льон,0.79,Узгоджено
777.56,Просте,44.98,Невелике занепокоєння,Помірна,Скло,4.43,Узгоджено
919.41,Просте,47.6,Вищий статус охорони,Висока,Залізо,0.0,Заблоковано
909.34,Стандартне,14.82,Вищий статус охорони,Безпечний,Поліпропілен,0.54,Заблоковано
820.99,Коштовне,-10.28,Невелике занепокоєння,Помірна,Льон,5.98,Заблоковано
1071.77,Стандартне,7.65,Невелике занепокоєння,Помірна,Льон,0.0,Заблоковано
728.12,Стандартне,36.65,Невелике занепокоєння,Висока,Залізо,3.08,Узгоджено
942.43,Коштовне,48.21,Невелике занепокоєння,Безпечний,Залізо,1.26,Заблоковано
1005.46,Коштовне,62.34,Не охороняється,Помірна,Залізо,2.3,Заблоковано
1142.42,Коштовне,59.43,Вищий статус охорони,Висока,Залізо,1.92,Заблоковано
986.94,Коштовне,44.67,Вищий статус охорони,Помірна,Залізо,3.16,Заблоковано
1343.98,Просте,35.59,Не охороняється,Висока,Поліпропілен,6.26,Заблоковано
847.76,Просте,24.76,Вищий статус охорони,Висока,Поліпропілен,0.55,Заблоковано
1054.91,Стандартне,39.35,Вищий статус охорони,Висока,Скло,4.41,Заблоковано
1067.77,Стандартне,42.93,Не охороняється,Безпечний,Поліпропілен,5.05,Заблоковано
695.82,Просте,46.16,Невелике занепокоєння,Помірна,Льон,2.48,Узгоджено
959.39,Коштовне,20.04,Не охороняється,Безпечний,Льон,2.8,Заблоковано
788.57,Коштовне,53.13,Невелике занепокоєння,Безпечний,Поліпропілен,2.25,Узгоджено
778.01,Просте,57.01,Невелике занепокоєння,Висока,Поліпропілен,2.87,Узгоджено
981.55,Коштовне,37.75,Не охороняється,Помірна,Залізо,0.0,Заблоковано
1088.5,Коштовне,41.94,Невелике занепокоєння,Помірна,Залізо,4.05,Заблоковано
815.94,Стандартне,59.61,Невелике занепокоєння,Висока,Скло,0.02,Узгоджено
967.39,Просте,6.59,Не охороняється,Висока,Поліпропілен,3.73,Заблоковано
794.86,Коштовне,63.1,Не охороняється,Висока,Льон,3.66,Узгоджено
705.72,Стандартне,51.15,Не охороняється,Висока,Залізо,3.49,Узгоджено
921.21,Просте,49.53,Невелике занепокоєння,Помірна,Скло,0.2,Заблоковано
915.85,Просте,52.8,Невелике занепокоєння,Висока,Поліпропілен,2.58,Узгоджено
889.33,Просте,37.73,Не охороняється,Помірна,Залізо,1.36,Заблоковано
862.2,Стандартне,56.41,Вищий статус охорони,Висока,Залізо,3.01,Узгоджено
483.94,Просте,39.62,Не охороняється,Висока,Льон,2.18,Узгоджено
1053.47,Стандартне,33.38,Невелике занепокоєння,Помірна,Скло,0.24,Заблоковано
723.77,Стандартне,60.45,Невелике занепокоєння,Помірна,Поліпропілен,2.18,Узгоджено
705.95,Просте,50.03,Невелике занепокоєння,Безпечний,Скло,0.07,Узгоджено
789.38,Стандартне,33.78,Невелике занепокоєння,Висока,Скло,1.75,Узгоджено
638.66,Просте,51.79,Не охороняється,Безпечний,Льон,3.47,Узгоджено
1334.16,Просте,40.96,Не охороняється,Помірна,Скло,1.27,Заблоковано
612.31,Просте,56.95,Вищий статус охорони,Помірна,Льон,1.45,Узгоджено
866.0,Просте,34.36,Не охороняється,Помірна,Скло,3.5,Заблоковано
1009.39,Коштовне,71.55,Не охороняється,Безпечний,Залізо,1.02,Заблоковано
1021.61,Просте,48.21,Не охороняється,Помірна,Поліпропілен,2.79,Заблоковано
825.12,Коштовне,19.98,Невелике занепокоєння,Безпечний,Льон,0.0,Заблоковано
895.11,Коштовне,51.15,Невелике занепокоєння,Висока,Скло,3.5,Узгоджено
942.25,Просте,64.14,Не охороняється,Безпечний,Поліпропілен,2.89,Узгоджено
1296.05,Стандартне,53.1,Вищий статус охорони,Висока,Поліпропілен,2.74,Заблоковано
737.55,Коштовне,49.24,Вищий статус охорони,Помірна,Залізо,2.64,Узгоджено
1157.26,Просте,40.4,Невелике занепокоєння,Висока,Скло,0.0,Заблоковано
946.88,Стандартне,7.81,Вищий статус охорони,Безпечний,Поліпропілен,2.65,Заблоковано
773.2,Коштовне,59.35,Невелике занепокоєння,Висока,Льон,3.01,Узгоджено
468.63,Стандартне,29.87,Не охороняється,Помірна,Льон,4.09,Узгоджено
847.32,Стандартне,68.26,Невелике занепокоєння,Безпечний,Поліпропілен,1.0,Узгоджено
937.09,Стандартне,5.78,Не охороняється,Помірна,Скло,4.89,Заблоковано
1022.7,Стандартне,49.42,Не охороняється,Помірна,Залізо,0.29,Заблоковано
791.87,Просте,72.84,Вищий статус охорони,Помірна,Залізо,4.14,Узгоджено
986.98,Стандартне,62.84,Не охороняється,Безпечний,Поліпропілен,3.78,Заблоковано
606.2,Стандартне,37.17,Вищий статус охорони,Висока,Поліпропілен,1.69,Узгоджено
955.79,Просте,62.22,Вищий статус охорони,Безпечний,Скло,3.01,Заблоковано
1007.26,Коштовне,48.9,Невелике занепокоєння,Висока,Льон,0.42,Заблоковано
583.15,Просте,35.41,Невелике занепокоєння,Помірна,Залізо,5.51,Узгоджено
742.05,Коштовне,73.68,Вищий статус охорони,Помірна,Скло,7.29,Узгоджено
1057.59,Стандартне,57.99,Не охороняється,Висока,Залізо,5.03,Заблоковано
1059.37,Стандартне,37.38,Вищий статус охорони,Висока,Поліпропілен,2.44,Заблоковано
727.76,Просте,61.57,Невелике занепокоєння,Помірна,Залізо,3.99,Узгоджено
857.14,Стандартне,71.46,Невелике занепокоєння,Висока,Поліпропілен,0.0,Узгоджено
520.49,Просте,46.92,Не охороняється,Висока,Поліпропілен,3.36,Узгоджено
946.02,Стандартне,56.48,Вищий статус охорони,Помірна,Залізо,2.56,Заблоковано
813.44,Стандартне,74.99,Вищий статус охорони,Безпечний,Льон,1.97,Узгоджено
1061.45,Стандартне,48.12,Невелике занепокоєння,Безпечний,Скло,3.02,Заблоковано
1329.46,Коштовне,26.83,Невелике занепокоєння,Помірна,Скло,2.84,Заблоковано
763.77,Стандартне,37.54,Вищий статус охорони,Висока,Скло,2.73,Узгоджено
762.31,Коштовне,23.18,Невелике занепокоєння,Висока,Льон,8.15,Узгоджено
934.59,Просте,64.47,Вищий статус охорони,Помірна,Скло,6.38,Узгоджено
621.72,Просте,25.65,Вищий статус охорони,Висока,Залізо,5.64,Узгоджено
928.81,Коштовне,62.97,Невелике занепокоєння,Помірна,Льон,4.82,Узгоджено
993.45,Стандартне,39.07,Не охороняється,Помірна,Скло,1.67,Заблоковано
890.14,Стандартне,43.07,Невелике занепокоєння,Помірна,Льон,1.74,Заблоковано
621.23,Просте,35.01,Вищий статус охорони,Безпечний,Льон,0.0,Узгоджено
680.78,Просте,23.87,Невелике занепокоєння,Помірна,Поліпропілен,3.92,Узгоджено
995.81,Стандартне,17.75,Невелике занепокоєння,Безпечний,Поліпропілен,0.12,Заблоковано
920.88,Просте,67.28,Не охороняється,Безпечний,Скло,2.14,Узгоджено
663.31,Просте,41.53,Не охороняється,Висока,Скло,3.32,Узгоджено
879.64,Стандартне,56.66,Не охороняється,Висока,Залізо,3.53,Узгоджено
824.01,Стандартне,43.66,Не охороняється,Помірна,Скло,1.77,Узгоджено
983.09,Коштовне,25.98,Вищий статус охорони,Висока,Залізо,2.53,Заблоковано
880.6,Стандартне,37.64,Вищий статус охорони,Безпечний,Льон,7.41,Заблоковано
1098.92,Стандартне,43.73,Вищий статус охорони,Безпечний,Залізо,0.0,Заблоковано
794.09,Просте,36.18,Не охороняється,Безпечний,Залізо,5.85,Узгоджено
709.54,Стандартне,54.54,Не охороняється,Висока,Поліпропілен,3.84,Узгоджено
939.8,Просте,71.26,Невелике занепокоєння,Помірна,Залізо,3.39,Узгоджено
962.39,Просте,20.43,Вищий статус охорони,Безпечний,Залізо,0.0,Заблоковано
611.87,Коштовне,56.99,Не охороняється,Помірна,Поліпропілен,2.15,Узгоджено
917.95,Стандартне,43.54,Не охороняється,Висока,Льон,3.64,Заблоковано
907.63,Стандартне,50.06,Не охороняється,Безпечний,Залізо,4.05,Узгоджено
735.1,Коштовне,40.25,Невелике занепокоєння,Висока,Скло,1.17,Узгоджено
1007.3,Просте,50.78,Невелике занепокоєння,Помірна,Скло,0.42,Заблоковано
793.25,Стандартне,46.78,Невелике занепокоєння,Висока,Льон,2.35,Узгоджено
1029.9,Просте,32.82,Невелике занепокоєння,Висока,Льон,3.44,Заблоковано
790.71,Просте,49.44,Невелике занепокоєння,Помірна,Поліпропілен,4.61,Узгоджено
981.49,Просте,35.87,Не охороняється,Помірна,Льон,0.0,Заблоковано
631.4,Стандартне,63.75,Вищий статус охорони,Висока,Льон,0.0,Узгоджено
963.76,Стандартне,59.84,Не охороняється,Помірна,Поліпропілен,3.68,Заблоковано
1171.43,Стандартне,44.57,Невелике занепокоєння,Безпечний,Льон,0.4,Заблоковано
773.02,Просте,15.17,Не охороняється,Безпечний,Льон,2.87,Узгоджено
1004.73,Стандартне,33.28,Вищий статус охорони,Висока,Льон,0.0,Заблоковано
793.18,Коштовне,49.23,Не охороняється,Безпечний,Скло,3.82,Узгоджено
937.4,Просте,66.99,Невелике занепокоєння,Помірна,Залізо,6.95,Узгоджено
817.09,Коштовне,58.15,Не охороняється,Безпечний,Поліпропілен,1.47,Узгоджено
899.2,Коштовне,62.25,Невелике занепокоєння,Помірна,Льон,5.39,Узгоджено
1066.04,Коштовне,35.9,Не охороняється,Безпечний,Скло,3.3,Заблоковано
949.52,Коштовне,51.47,Вищий статус охорони,Безпечний,Скло,3.99,Заблоковано
873.06,Просте,48.86,Не охороняється,Безпечний,Скло,0.42,Узгоджено
997.52,Просте,35.97,Не охороняється,Помірна,Залізо,1.09,Заблоковано
1045.09,Коштовне,29.1,Не охороняється,Безпечний,Скло,2.68,Заблоковано
725.47,Коштовне,49.64,Не охороняється,Висока,Залізо,0.97,Узгоджено
1209.03,Просте,31.28,Не охороняється,Помірна,Поліпропілен,2.09,Заблоковано
1110.59,Стандартне,62.76,Не охороняється,Помірна,Поліпропілен,0.0,Заблоковано
770.11,Стандартне,35.85,Вищий статус охорони,Безпечний,Скло,4.09,Узгоджено
954.03,Стандартне,46.02,Вищий статус охорони,Висока,Скло,2.68,Заблоковано
696.46,Стандартне,36.18,Не охороняється,Висока,Льон,0.0,Узгоджено
990.02,Коштовне,22.65,Невелике занепокоєння,Безпечний,Залізо,0.0,Заблоковано
606.4,Стандартне,46.69,Вищий статус охорони,Безпечний,Льон,5.57,Узгоджено
1336.34,Просте,30.91,Не охороняється,Безпечний,Залізо,0.05,Заблоковано
772.46,Просте,61.48,Невелике занепокоєння,Безпечний,Льон,3.12,Узгоджено
1094.62,Просте,51.32,Невелике занепокоєння,Безпечний,Залізо,4.05,Заблоковано
1117.94,Стандартне,23.57,Не охороняється,Помірна,Залізо,4.16,Заблоковано
894.99,Коштовне,64.72,Не охороняється,Безпечний,Залізо,2.64,Узгоджено
1015.54,Стандартне,52.84,Не охороняється,Помірна,Льон,0.31,Заблоковано
938.3,Просте,43.16,Не охороняється,Безпечний,Залізо,4.28,Заблоковано
1069.52,Стандартне,16.13,Невелике занепокоєння,Помірна,Поліпропілен,1.62,Заблоковано
895.24,Стандартне,56.04,Не охороняється,Помірна,Скло,1.31,Узгоджено
1033.07,Просте,21.92,Невелике занепокоєння,Висока,Скло,4.3,Заблоковано
718.0,Коштовне,51.21,Не охороняється,Безпечний,Скло,6.65,Узгоджено
803.16,Коштовне,45.0,Вищий статус охорони,Безпечний,Залізо,3.21,Узгоджено
777.01,Просте,74.8,Вищий статус охорони,Помірна,Льон,0.93,Узгоджено
826.65,Стандартне,50.25,Не охороняється,Висока,Поліпропілен,0.0,Узгоджено
1071.77,Стандартне,33.01,Не охороняється,Висока,Льон,2.87,Заблоковано
786.25,Стандартне,55.8,Не охороняється,Безпечний,Льон,1.15,Узгоджено
962.03,Просте,52.43,Не охороняється,Помірна,Льон,0.0,Заблоковано
833.73,Коштовне,41.72,Вищий статус охорони,Висока,Залізо,3.71,Узгоджено
668.47,Просте,63.66,Вищий статус охорони,Висока,Скло,1.84,Узгоджено
1041.28,Просте,43.15,Невелике занепокоєння,Висока,Скло,2.19,Заблоковано
983.79,Стандартне,50.62,Не охороняється,Безпечний,Залізо,7.11,Заблоковано
809.02,Стандартне,35.47,Невелике занепокоєння,Висока,Льон,2.78,Узгоджено
725.7,Просте,49.46,Вищий статус охорони,Безпечний,Залізо,3.83,Узгоджено
635.28,Стандартне,31.63,Невелике занепокоєння,Помірна,Льон,1.98,Узгоджено
809.17,Просте,39.23,Не охороняється,Безпечний,Льон,1.87,Узгоджено
697.42,Стандартне,19.7,Вищий статус охорони,Безпечний,Поліпропілен,5.19,Узгоджено
909.99,Стандартне,33.76,Не охороняється,Безпечний,Льон,1.42,Заблоковано
956.17,Стандартне,47.68,Невелике занепокоєння,Помірна,Залізо,0.0,Заблоковано
878.36,Просте,52.46,Не охороняється,Висока,Залізо,1.75,Узгоджено
819.93,Коштовне,46.56,Невелике занепокоєння,Помірна,Залізо,0.0,Узгоджено
1143.94,Стандартне,58.07,Вищий статус охорони,Помірна,Залізо,0.07,Заблоковано
1042.96,Стандартне,48.22,Не охороняється,Помірна,Поліпропілен,2.71,Заблоковано
1177.32,Коштовне,31.8,Не охороняється,Безпечний,Скло,5.69,Заблоковано
899.21,Просте,35.41,Невелике занепокоєння,Безпечний,Залізо,4.24,Заблоковано
902.83,Просте,29.76,Не охороняється,Безпечний,Льон,0.0,Заблоковано
858.72,Коштовне,49.4,Вищий статус охорони,Висока,Скло,6.64,Узгоджено
959.14,Просте,33.55,Не охороняється,Висока,Льон,0.54,Заблоковано
754.49,Коштовне,44.84,Вищий статус охорони,Висока,Поліпропілен,1.58,Узгоджено
929.52,Коштовне,50.57,Не охороняється,Безпечний,Льон,1.56,Заблоковано
783.68,Просте,39.32,Вищий статус охорони,Висока,Льон,1.86,Узгоджено
1294.96,Коштовне,36.2,Невелике занепокоєння,Безпечний,Скло,0.3,Заблоковано
715.63,Стандартне,49.13,Не охороняється,Помірна,Льон,0.33,Узгоджено
1216.8,Коштовне,50.79,Невелике занепокоєння,Безпечний,Поліпропілен,2.35,Заблоковано
748.8,Коштовне,52.58,Вищий статус охорони,Висока,Поліпропілен,2.62,Узгоджено
943.83,Коштовне,59.01,Не охороняється,Помірна,Залізо,1.58,Заблоковано
725.75,Стандартне,49.61,Вищий статус охорони,Безпечний,Льон,0.33,Узгоджено
713.38,Просте,42.47,Невелике занепокоєння,Помірна,Поліпропілен,0.05,Узгоджено
1001.63,Коштовне,38.03,Невелике занепокоєння,Висока,Поліпропілен,5.47,Заблоковано
1067.48,Стандартне,43.41,Не охороняється,Помірна,Льон,0.0,Заблоковано
959.35,Просте,51.04,Не охороняється,Безпечний,Льон,2.78,Заблоковано
1015.45,Просте,-0.98,Вищий статус охорони,Висока,Поліпропілен,3.65,Заблоковано
743.85,Коштовне,53.62,Не охороняється,Безпечний,Залізо,2.21,Узгоджено
1048.05,Коштовне,49.69,Невелике занепокоєння,Помірна,Скло,4.62,Заблоковано
1000.12,Стандартне,51.71,Невелике занепокоєння,Безпечний,Залізо,0.0,Заблоковано
1034.88,Просте,62.54,Невелике занепокоєння,Безпечний,Льон,6.45,Заблоковано
681.34,Просте,31.0,Не охороняється,Висока,Поліпропілен,0.37,Узгоджено
863.0,Просте,57.01,Вищий статус охорони,Безпечний,Поліпропілен,3.57,Узгоджено
1327.07,Стандартне,30.02,Вищий статус охорони,Висока,Скло,4.49,Заблоковано
846.86,Стандартне,61.74,Не охороняється,Помірна,Поліпропілен,0.25,Узгоджено
687.97,Просте,37.92,Невелике занепокоєння,Безпечний,Залізо,1.93,Узгоджено
934.84,Коштовне,38.8,Не охороняється,Висока,Поліпропілен,1.09,Заблоковано
882.94,Просте,28.68,Невелике занепокоєння,Безпечний,Залізо,3.06,Заблоковано
990.02,Просте,23.89,Невелике занепокоєння,Помірна,Скло,4.06,Заблоковано
619.66,Просте,66.01,Невелике занепокоєння,Безпечний,Поліпропілен,4.27,Узгоджено
